札幌,43.0646147,141.3468074
青森,40.8243077,140.7399984
盛岡,39.7036194,141.1526839
仙台,38.2688373,140.8721
秋田,39.7186135,140.1023643
山形,38.2404355,140.3636333
福島,37.7502986,140.4675514
水戸,36.3418112,140.4467935
宇都宮,36.565725,139.8835651
前橋,36.3906675,139.0604061
さいたま,35.8569991,139.6488487
千葉,35.6050574,140.1233063
新宿,35.6894875,139.6917064
横浜,35.4475073,139.6423446
新潟,37.9025518,139.0230946
富山,36.6952907,137.2113383
金沢,36.5946816,136.6255726
福井,36.0651779,136.2215269
甲府,35.6641575,138.5684486
長野,36.6512986,138.1809557
岐阜,35.3912272,136.7222906
静岡,34.9771201,138.3830845
名古屋,35.1801883,136.9065647
津,34.7302829,136.5085883
大津,35.0045306,135.8685899
京都,35.0212466,135.7555968
大阪,34.6862971,135.5196609
神戸,34.6912688,135.1830706
奈良,34.6853345,135.8327421
和歌山,34.2259867,135.1675086
鳥取,35.5038906,134.2377356
松江,35.4722952,133.0504997
岡山,34.6617511,133.9344057
広島,34.3965603,132.4596225
山口,34.1859563,131.4706493
徳島,34.0657179,134.5593601
高松,34.3401491,134.0434436
松山,33.8416238,132.7656808
高知,33.5597062,133.5310786
福岡,33.6065756,130.418297
佐賀,33.2494416,130.2997942
長崎,32.7448388,129.8737562
熊本,32.789827,130.7416672
大分,33.2381718,131.6126189
宮崎,31.9110956,131.4238934
鹿児島,31.5610825,130.5577279
那覇,26.2124013,127.6809317